Gene_name_canonical,consensus graph-based annotation (this study),Leiden cluster label (this study),Ground truth (ML6.0),"Itzhak et al. 2016, compartment","Itzhak et al. 2016, global"
METAP2 (F8VQZ7),stress_granule,17,,Large Protein Complex,Organellar and Cytosolic
METTL16,translation,17,,Large Protein Complex,Broad distribution
MUS81,translation,17,,,Broad distribution
NAA20,translation,17,,Large Protein Complex,Organellar and Cytosolic
NAA30,translation,17,,Large Protein Complex,Organellar and Cytosolic
NCAPG2,translation,17,,Large Protein Complex,Broad distribution
NEMF,translation,17,,Endosome,Organellar and Cytosolic
NSUN2,translation,17,,Large Protein Complex,Broad distribution
PFDN1,cytosol,17,,Large Protein Complex,Mostly Cytosolic
POP4,translation,17,,Large Protein Complex,Nuclear and Cytosolic
POP7,translation,17,,Large Protein Complex,Broad distribution
RBM33 (Q96EV2),translation,17,,Large Protein Complex,Broad distribution
RNPC3,translation,17,,,Mostly Nuclear
RPL10 (X5D2T3),translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL10A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL11,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL12,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL13,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL13A (Q5QTS3),translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL14 (A8K7N0),translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL14 (Q6IPH7),translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL15,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL17,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL18,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL18A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL19,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL21,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL23A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL24,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL26L1,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL27,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL27A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL28,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL3,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL30,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL32,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL34,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL35A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL36,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL36A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL37A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL4,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL5,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL6,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL7,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL7A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPL9; RPL9P7; RPL9P8; RPL9P9,translation,17,,,
RPLP0,translation,17,,Large Protein Complex,Organellar and Cytosolic
RPLP1 (P05386),translation,17,,Large Protein Complex,Organellar and Cytosolic
RPLP1 (Q6FG99),translation,17,,Large Protein Complex,Organellar and Cytosolic
RPLP2,translation,17,,Large Protein Complex,Organellar and Cytosolic
RPP40,translation,17,,Large Protein Complex,Nuclear and Cytosolic
RPS15A,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
RPS27A,translation,17,ribosome,Large Protein Complex,Broad distribution
RPS27L,translation,17,ribosome,Large Protein Complex,Organellar and Cytosolic
TARBP2,translation,17,,Large Protein Complex,Organellar and Cytosolic
TRIM25 (Q59GW5),stress_granule,17,stress granule,Large Protein Complex,Organellar and Cytosolic
TRMT6,translation,17,,Endosome,Organellar and Cytosolic
TSPYL1,translation,17,,Large Protein Complex,Nuclear and Cytosolic
TUT7,translation,17,,Large Protein Complex,Organellar and Cytosolic
UXT,translation,17,,Large Protein Complex,Organellar and Cytosolic
WRN,nucleus,17,,Large Protein Complex,Mostly Nuclear
YY1AP1,translation,17,,Large Protein Complex,Organellar and Cytosolic
ZC3HAV1 (C9J6P4),translation,17,stress granule,Endosome,Organellar and Cytosolic
ZCCHC14,translation,17,,,Mostly Organellar
ARFRP1,Golgi,18,Golgi,Golgi,Mostly Organellar
B3GAT3,Golgi,18,,Golgi,Mostly Organellar
B4GAT1,Golgi,18,,Golgi,Mostly Organellar
BET1L,Golgi,18,,No Prediction,Mostly Organellar
BLZF1,Golgi,18,,,Mostly Organellar
BPNT2,Golgi,18,Golgi,Golgi,Mostly Organellar
BSDC1,Golgi,18,Golgi,Golgi,Organellar and Cytosolic
CANT1,Golgi,18,Golgi,Golgi,Mostly Organellar
CLEC16A,Golgi,18,,Large Protein Complex,Organellar and Cytosolic
COG1,Golgi,18,,Golgi,Mostly Cytosolic
COG2,Golgi,18,,Golgi,Broad distribution
COG3 (Q96JB2),Golgi,18,,Golgi,Mostly Cytosolic
COG4,Golgi,18,,Golgi,Mostly Cytosolic
COG5 (Q9UP83),Golgi,18,,Golgi,Mostly Cytosolic
COG6,Golgi,18,,Golgi,Mostly Cytosolic
COG7,Golgi,18,,Golgi,Mostly Cytosolic
COG8,Golgi,18,,,Mostly Cytosolic
CUX1 (P39880),Golgi,18,,Golgi,Mostly Nuclear
CUX1 (Q13948),Golgi,18,,Golgi,Mostly Nuclear
DYM,Golgi,18,,Large Protein Complex,Organellar and Cytosolic
FAM114A2 (A0A140VKG4),Golgi,18,,Large Protein Complex,Broad distribution
FAM3A,Golgi,18,,Golgi,Mostly Organellar
FAM3C,Golgi,18,,Golgi,Mostly Organellar
GALNT2,Golgi,18,Golgi,Golgi,Mostly Organellar
GALNT7,Golgi,18,Golgi,Golgi,Mostly Organellar
GBF1 (A0A7I2YQM2),cytosol,18,,Large Protein Complex,Mostly Cytosolic
GCC2,Golgi,18,,Golgi,Organellar and Cytosolic
GOLGA1,Golgi,18,,Plasma membrane,Mostly Organellar
GOLGA2,Golgi,18,,Golgi,Mostly Organellar
GOLGA3,Golgi,18,actin-binding_protein,Actin binding proteins,Broad distribution
GOLGA4,Golgi,18,,Golgi,Organellar and Cytosolic
GOLGA5,Golgi,18,,Golgi,Mostly Organellar
GOLGB1 (Q14789),Golgi,18,Golgi,Golgi,Mostly Organellar
GOLIM4,Golgi,18,Golgi,Golgi,Mostly Organellar
GOLPH3,Golgi,18,,Actin binding proteins,Organellar and Cytosolic
GORASP1,Golgi,18,,,Mostly Organellar
GORASP2,Golgi,18,,Golgi,Organellar and Cytosolic
GOSR2,Golgi,18,ERGIC,Ergic/cisGolgi,Mostly Organellar
MTMR3,Golgi,18,,,Mostly Cytosolic
NUCB1,Golgi,18,,Golgi,Mostly Organellar
NUCB2,Golgi,18,,Ergic/cisGolgi,Mostly Organellar
PLEKHA3,Golgi,18,,,Mostly Organellar
PRRC1,Golgi,18,,Large Protein Complex,Organellar and Cytosolic
RABAC1,Golgi,18,,,Mostly Organellar
RHBDD2,Golgi,18,,Plasma membrane,Mostly Organellar
RNF121,Golgi,18,,,Mostly Organellar
RNFT1,Golgi,18,,,Mostly Organellar
SDF4,Golgi,18,,Golgi,Mostly Organellar
SEC22A,Golgi,18,,Ergic/cisGolgi,Mostly Organellar
SEC23A,Golgi,18,ERGIC,Large Protein Complex,Organellar and Cytosolic
SEC23B,Golgi,18,ERGIC,Large Protein Complex,Organellar and Cytosolic
SEC23IP,Golgi,18,,Large Protein Complex,Organellar and Cytosolic
SEC24B,Golgi,18,ERGIC,Large Protein Complex,Organellar and Cytosolic
SEC24C,Golgi,18,ERGIC,Large Protein Complex,Organellar and Cytosolic
SEC31A,ERGIC,18,ERGIC,Large Protein Complex,Organellar and Cytosolic
SFT2D3,Golgi,18,,Golgi,Mostly Organellar
SLC30A6,Golgi,18,,Golgi,Mostly Organellar
SLC35B2,Golgi,18,,Golgi,Mostly Organellar
SLC35E1,Golgi,18,Golgi,Golgi,Mostly Organellar
TM9SF1,Golgi,18,Golgi,Golgi,Mostly Organellar
TM9SF3,Golgi,18,Golgi,Golgi,Mostly Organellar
TM9SF4,Golgi,18,Golgi,Golgi,Mostly Organellar
TMED3,Golgi,18,ERGIC,Ergic/cisGolgi,Mostly Organellar
TMED7,Golgi,18,,Large Protein Complex,Mostly Organellar
TMEM115,Golgi,18,,Golgi,Mostly Organellar
TMEM168,Golgi,18,,,
TMF1,Golgi,18,,Golgi,Mostly Organellar
TRIP11,Golgi,18,,Golgi,Mostly Organellar
UBIAD1,Golgi,18,Golgi,Golgi,Mostly Organellar
USO1,Golgi,18,,Plasma membrane,Broad distribution
VPS13B,Golgi,18,,,Organellar and Cytosolic
WWOX,Golgi,18,,,
YIPF3,Golgi,18,,Golgi,Mostly Organellar
YIPF4,Golgi,18,,Actin binding proteins,Mostly Organellar
ZDHHC13,Golgi,18,,Golgi,Mostly Organellar
ZDHHC17,Golgi,18,,Golgi,Mostly Organellar
ZDHHC3,Golgi,18,,,Mostly Organellar
ZFPL1,Golgi,18,Golgi,Golgi,Mostly Organellar
ABLIM1,actin_cytoskeleton,19,,Actin binding proteins,Broad distribution
ACTR3B,actin_cytoskeleton,19,,,Mostly Organellar
AFAP1,actin_cytoskeleton,19,,Large Protein Complex,Broad distribution
AMOTL1,actin_cytoskeleton,19,,,Broad distribution
ARHGAP11A,nucleus,19,,,Mostly Nuclear
ARHGAP21,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
ARHGEF11,actin_cytoskeleton,19,,,Nuclear and Cytosolic
ATP1A2,actin_cytoskeleton,19,,,
AXIN1,actin_cytoskeleton,19,,,Organellar and Cytosolic
B7Z3A3[p],actin_cytoskeleton,19,,,
CBY1,actin_cytoskeleton,19,,,
CORO2A,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
CRACD,actin_cytoskeleton,19,,,Broad distribution
CTTNBP2,actin_cytoskeleton,19,,,
DAPK3,actin_cytoskeleton,19,,Large Protein Complex,Mostly Organellar
DBNL (B4DXL9),actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
DENND2B,actin_cytoskeleton,19,,Large Protein Complex,Mostly Organellar
DNM3,actin_cytoskeleton,19,,,
DNMBP,actin_cytoskeleton,19,,Actin binding proteins,Mostly Cytosolic
EPB41 (A0A2R8Y783),actin_cytoskeleton,19,plasma membrane,Plasma membrane,Broad distribution
EPB41L1,plasma_membrane,19,plasma membrane,Plasma membrane,Mostly Organellar
ERC1,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
FCHO2,actin_cytoskeleton,19,,Golgi,Broad distribution
FCHSD2,plasma_membrane,19,,,Broad distribution
GAN,actin_cytoskeleton,19,,,Mostly Cytosolic
HIRIP3,actin_cytoskeleton,19,,,Nuclear and Cytosolic
HOMER2,actin_cytoskeleton,19,,,
IQGAP3,plasma_membrane,19,,Large Protein Complex,Broad distribution
KANK2,actin_cytoskeleton,19,,Actin binding proteins,Organellar and Cytosolic
KCTD3,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
KIAA1217,actin_cytoskeleton,19,,Large Protein Complex,Mostly Cytosolic
LMO7,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
LRCH1,actin_cytoskeleton,19,,Endosome,Broad distribution
MAP3K21,14-3-3_scaffold,19,,,Mostly Cytosolic
MEX3C,actin_cytoskeleton,19,,,Mostly Cytosolic
MIS18BP1,nucleus,19,,,Mostly Nuclear
MYO18A,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
NCK2,actin_cytoskeleton,19,,,
NEXN,actin_cytoskeleton,19,,Actin binding proteins,Nuclear and Cytosolic
NOS1AP,actin_cytoskeleton,19,,Plasma membrane,Organellar and Cytosolic
NUMBL (M0QXQ4),actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
PEAK1,actin_cytoskeleton,19,,,Mostly Organellar
PHLDB2,actin_cytoskeleton,19,,Golgi,Broad distribution
PICALM (H0YEF7),actin_cytoskeleton,19,,Large Protein Complex,Broad distribution
PIK3CB,actin_cytoskeleton,19,,Endosome,Organellar and Cytosolic
PLEKHA7,actin_cytoskeleton,19,,,
PLEKHG3,actin_cytoskeleton,19,,,Broad distribution
PPP1R12B,actin_cytoskeleton,19,,,Broad distribution
PPP1R18,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
PRR14,actin_cytoskeleton,19,,,Mostly Nuclear
Q9NX34[p],actin_cytoskeleton,19,,,
RASSF8,plasma_membrane,19,,Large Protein Complex,Organellar and Cytosolic
RBL2,actin_cytoskeleton,19,,,
RELA,actin_cytoskeleton,19,,Large Protein Complex,Mostly Cytosolic
RFLNB,actin_cytoskeleton,19,,,
SBF2,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
SHKBP1,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
SIPA1,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Organellar and Cytosolic
SIPA1L1,actin_cytoskeleton,19,,Mitochondrion,Mostly Organellar
SIPA1L2,actin_cytoskeleton,19,,,Broad distribution
SIPA1L3,actin_cytoskeleton,19,,Plasma membrane,Organellar and Cytosolic
SNTB1,plasma_membrane,19,,Plasma membrane,Mostly Organellar
SNX33,actin_cytoskeleton,19,plasma membrane,Plasma membrane,Organellar and Cytosolic
SPTAN1 (A0A0D9SGF6),actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Broad distribution
SSH2,actin_cytoskeleton,19,,,Nuclear and Cytosolic
SVIL,actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Mostly Organellar
SYNJ1,actin_cytoskeleton,19,,Large Protein Complex,Organellar and Cytosolic
TJAP1,actin_cytoskeleton,19,,,Mostly Cytosolic
TJP1 (A0A7I2V5U5),actin_cytoskeleton,19,actin-binding_protein,Actin binding proteins,Nuclear and Cytosolic
TMEM94,plasma_membrane,19,,,Mostly Organellar
TMOD1,actin_cytoskeleton,19,,,Mostly Cytosolic
TMOD2,actin_cytoskeleton,19,,,
TPM3 (A0A0S2Z4G8),actin_cytoskeleton,19,,Golgi,Mostly Cytosolic
TPRN,actin_cytoskeleton,19,,Large Protein Complex,Mostly Organellar
TRIOBP,actin_cytoskeleton,19,,Golgi,Mostly Organellar
USP6NL,plasma_membrane,19,,,Mostly Organellar
YAP1,actin_cytoskeleton,19,,Large Protein Complex,Nuclear and Cytosolic
ZNF318,actin_cytoskeleton,19,,,Mostly Nuclear
A8K3S2[p],stress_granule,20,,,
AGO1,stress_granule,20,,Large Protein Complex,Mostly Organellar
AGO2,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
AGO3,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
ATXN2L (Q8WWM7),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
AVEN,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CASC3,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CCDC9,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CNOT10,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CNOT4,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CNOT6,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CNOT6L,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
CNOT7,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
DHX36,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
DKFZp781F05101,stress_granule,20,,,
DZIP3,stress_granule,20,,,Mostly Organellar
EIF4E,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
ELAVL2,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
FAM120A (A0A494C0Y9),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
FAM120A (Q9NZB2),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
FAM120C,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
FAM193A,stress_granule,20,,Large Protein Complex,Mostly Organellar
FMR1 (X5D907),stress_granule,20,stress granule,Large Protein Complex,Mostly Organellar
FMR1 (Q06787),stress_granule,20,stress granule,Large Protein Complex,Mostly Organellar
FUBP3,stress_granule,20,stress granule,Large Protein Complex,Mostly Organellar
FXR1 (P51114),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
FXR2,stress_granule,20,stress granule,Large Protein Complex,Mostly Organellar
GPBP1L1,stress_granule,20,,,Mostly Organellar
HELZ2,stress_granule,20,,Large Protein Complex,Mostly Organellar
IGF2BP1,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
IGF2BP2,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
IGF2BP3,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
KIF1C,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
L1RE1,stress_granule,20,,,Mostly Organellar
LARP1,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
LARP4,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
LIN28B,stress_granule,20,,,
MEX3A,stress_granule,20,,,
MKRN1,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
MOV10,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
MSI1,stress_granule,20,stress granule,,
MSI2 (B4DHE8),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
MSI2 (Q96DH6),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
NBPF9,stress_granule,20,,,
PABPC1,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PABPC4,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PAN3,stress_granule,20,,Large Protein Complex,Mostly Organellar
PRKRA,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
PRRC2A,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PRRC2C (E7EPN9),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PTBP3,nucleus,20,stress granule,Large Protein Complex,Mostly Organellar
PUM1,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PUM2 (B7ZL34),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PUM2 (Q8TB72),stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PURA,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
PURB,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
R3HDM1,stress_granule,20,,Large Protein Complex,Mostly Organellar
RBFOX2,stress_granule,20,,Large Protein Complex,Mostly Nuclear
RBM47,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
RBMS1,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
RBMS2,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
RC3H1,stress_granule,20,,Large Protein Complex,Mostly Organellar
RC3H2,stress_granule,20,,Large Protein Complex,Mostly Organellar
RPS3A,stress_granule,20,ribosome,Large Protein Complex,Organellar and Cytosolic
SAMD4B,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
SMG7,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
SPOP,stress_granule,20,,,Mostly Nuclear
STAU2,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
TNRC6A,stress_granule,20,,Large Protein Complex,Mostly Organellar
TRO,stress_granule,20,,,
TTC3,stress_granule,20,,Ergic/cisGolgi,Mostly Organellar
UNKL,stress_granule,20,,,Organellar and Cytosolic
UPF1,stress_granule,20,p-body,Large Protein Complex,Organellar and Cytosolic
YBX1,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
YBX3,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
YTHDF2,stress_granule,20,stress granule,Large Protein Complex,Organellar and Cytosolic
ZCCHC3,stress_granule,20,,Large Protein Complex,Organellar and Cytosolic
ACAD8,mitochondrion,21,mitochondria,,Mostly Organellar
ACO2 (Q99798),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
AIFM1,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
ALDH7A1 (A0A384MDZ8),mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
ATP5F1A,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
ATP5F1B,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
ATP5MK,mitochondrion,21,,Mitochondrion,Mostly Organellar
C1QBP,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
CHCHD2,mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
CLPB (A0A2R8Y602),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
COA4,mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
COX17,mitochondrion,21,mitochondria,Mitochondrion,Organellar and Cytosolic
COX7A2,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
DHX30,mitochondrion,21,,Mitochondrion,Mostly Organellar
DTYMK,mitochondrion,21,,Mitochondrion,Broad distribution
ECH1,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
ECHS1,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
ECI1,mitochondrion,21,,Mitochondrion,Mostly Organellar
ETFA,mitochondrion,21,mitochondria,Mitochondrion,Organellar and Cytosolic
FH,mitochondrion,21,mitochondria,Mitochondrion,Organellar and Cytosolic
FUNDC2,mitochondrion,21,,Mitochondrion,Mostly Organellar
GCSH,mitochondrion,21,,Mitochondrion,Mostly Organellar
GSR,mitochondrion,21,,Mitochondrion,Mostly Cytosolic
HADHA,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
HIGD1A,mitochondrion,21,,,Mostly Organellar
HK2,mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
HSD17B10,mitochondrion,21,,Mitochondrion,Mostly Organellar
HSPA9,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
HSPD1 (P10809),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
IMMT (B4DS66),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
LRPPRC,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
LYPLAL1,mitochondrion,21,,,Broad distribution
MAVS,mitochondrion,21,,Mitochondrion,Mostly Organellar
MDH2,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
MICU1,mitochondrion,21,,Mitochondrion,Mostly Organellar
MICU2,mitochondrion,21,,Mitochondrion,Mostly Organellar
MIEF1,mitochondrion,21,,,Organellar and Cytosolic
MRPL12,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
MRPL33,mitochondrion,21,mitochondria,,Mostly Organellar
MRPL43 (B1AL05),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
MRPL49,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
MRPL52,mitochondrion,21,,,Mostly Organellar
MRPL57,mitochondrion,21,,Mitochondrion,Mostly Organellar
MT-ATP6,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
MT-ND1,mitochondrion,21,,,Mostly Organellar
NDUFA8,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
NTPCR,mitochondrion,21,,Large Protein Complex,Organellar and Cytosolic
OAT,mitochondrion,21,,Mitochondrion,Mostly Organellar
OGT (O15294),mitochondrion,21,,Large Protein Complex,Nuclear and Cytosolic
PDHB,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
PHB1,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
PHB2,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
PRDX3,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
PTCD2,mitochondrion,21,,Mitochondrion,Mostly Organellar
QTRT2,mitochondrion,21,,Mitochondrion,Mostly Cytosolic
RBFA,mitochondrion,21,,,Mostly Organellar
RPUSD3,mitochondrion,21,,Mitochondrion,Mostly Organellar
SHMT2,mitochondrion,21,,Mitochondrion,Mostly Organellar
SLC25A10 (B4DLN1),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
SLC25A14,mitochondrion,21,,,Mostly Organellar
SLC25A3,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
SLC25A5,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
SLIRP,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
SPR,mitochondrion,21,,Mitochondrion,Broad distribution
TEFM,mitochondrion,21,,Mitochondrion,Mostly Organellar
TFB1M,mitochondrion,21,,Mitochondrion,Mostly Organellar
TIMM13,mitochondrion,21,mitochondria,Mitochondrion,Organellar and Cytosolic
TIMM23,mitochondrion,21,,Mitochondrion,Mostly Organellar
TIMM8A,mitochondrion,21,,Actin binding proteins,Organellar and Cytosolic
TIMM8B,mitochondrion,21,mitochondria,Mitochondrion,Organellar and Cytosolic
TOMM22,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
TOMM6,mitochondrion,21,,,Mostly Organellar
TRAP1 (A0A140VJY2),mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
TRIAP1,mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
UQCR11,mitochondrion,21,,,
VDAC1,mitochondrion,21,mitochondria,Mitochondrion,Mostly Organellar
VPS13A,mitochondrion,21,,Mitochondrion,Organellar and Cytosolic
AAR2,cytosol,22,,,Mostly Cytosolic
AMBRA1,cytosol,22,,,Mostly Cytosolic
ANAPC5,cytosol,22,,Large Protein Complex,Nuclear and Cytosolic
APAF1,cytosol,22,,,Mostly Cytosolic
ARMC9,cytosol,22,,,Nuclear and Cytosolic
B4E1Q1[p],cytosol,22,,,
BCAS3,cytosol,22,,,Nuclear and Cytosolic
BRIP1,cytosol,22,,,Nuclear and Cytosolic
CACYBP,cytosol,22,,Large Protein Complex,Broad distribution
CCDC117,cytosol,22,,,Mostly Cytosolic
CDC37,cytosol,22,,Large Protein Complex,Mostly Cytosolic
CHUK,cytosol,22,,,Mostly Cytosolic
CMTR1,cytosol,22,,Large Protein Complex,Nuclear and Cytosolic
CPNE1,cytosol,22,,Large Protein Complex,Mostly Cytosolic
CRYBG3,cytosol,22,,,Mostly Cytosolic
DNA2,cytosol,22,,,Mostly Cytosolic
DNAJB4,cytosol,22,,Large Protein Complex,Organellar and Cytosolic
DPCD,cytosol,22,,Large Protein Complex,Mostly Cytosolic
ECD,cytosol,22,,Large Protein Complex,Mostly Cytosolic
ELP2,cytosol,22,,Large Protein Complex,Mostly Cytosolic
ELP3,cytosol,22,,Large Protein Complex,Mostly Cytosolic
EML4,cytosol,22,,Large Protein Complex,Organellar and Cytosolic
ESPL1,cytosol,22,,Large Protein Complex,Organellar and Cytosolic
FKBP5,cytosol,22,,Large Protein Complex,Mostly Cytosolic
GLMN,cytosol,22,,Large Protein Complex,Mostly Cytosolic
HGH1,cytosol,22,,Large Protein Complex,Mostly Cytosolic
HPS3,cytosol,22,,Endosome,Broad distribution
HPS5,cytosol,22,,Endosome,Mostly Cytosolic
HPS6,cytosol,22,,Endosome,Organellar and Cytosolic
HSP90AA1,cytosol,22,,Large Protein Complex,Mostly Cytosolic
HSP90AB1,cytosol,22,,Large Protein Complex,Mostly Cytosolic
