© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
6-hydroxydopamine	chemical toxicant	1.25E-10	ATF4,BAX,BCL2,CALR,DDIT3,HERPUD1,HSP90AB1,HSPA1A/HSPA1B,HSPA4,HSPA5,HSPA8,HSPA9,HSPBP1,P4HB,PDIA3,PPIB,PSMB2,PSMC4,SERP1,TP53,UBE2D3,VCP	350 (15)
BRAF	kinase	1.84E-10	A4GALT,ATF4,ATF6,B3GALT6,B3GNT2,B3GNT5,B4GALT3,B4GALT5,B4GALT7,B4GAT1,BCL2,BCL2L11,DDIT3,EIF2AK3,EXT2,FOXO1,GALNT11,GALNT18,GALNT3,GCNT2,GCNT4,GXYLT1,HM13,HMGCR,HSPB1,MAN2A2,MGAT4A,MGAT4B,MGAT5,MPPE1,NAGPA,POMK,POMT2,PRKN,PSMB10,PSMB8,PSMB9,PSME3,RAB15,RAB20,RAB31,RAB6B,RPN2,SERPINH1,ST3GAL1,ST3GAL2,ST6GALNAC2,STT3B,TNFRSF10B,TP53,TUSC3,UGT8,XBP1	368 (13)
AKT (family)	group	2.24E-10	ALG9,ATF4,ATG7,B3GALNT2,B3GALT6,B4GALT5,BAK1,BAX,BCL2,BCL2L11,CHST3,COPS6,EXT1,EXT2,FKBP5,FKTN,FOXO1,FUT11,GALNT10,GALNT11,GALNT18,GCNT2,GCNT4,GNPTAB,GXYLT2,HM13,IGF1R,MAN2A1,MAN2A2,MGAT4A,MGAT4B,MGAT5,MPPE1,NET1,POMT1,PSMD10,RPN2,ST3GAL1,ST3GAL6,ST6GALNAC2,STT3A,STT3B,TMED10,TMED9,TMX3,TP53,TUSC3,UGT8,XBP1	489 (15)
PAX4	transcription regulator	3.39E-10	PSMA7,PSMB4,PSMC1,PSMC2,PSMC3,PSMC4,PSMD1,PSMD11,PSMD2,PSMD3,PSMD4,PSMD7	 
camptothecin	chemical drug	3.84E-10	AKT2,ARAP2,ARFGAP1,ARHGDIA,ARHGEF1,BAG3,BAK1,BAX,BCL2,BTK,CALR,CANX,CCT8,CHST11,CLTB,CSNK1D,CYTH2,DNAJA1,DPAGT1,FKBP3,FOXO1,FUT8,GAPVD1,GIT2,GPLD1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA8,HSPA9,HSPB1,HSPB8,HSPH1,ITPR1,MICAL3,OPTN,PIK3CA,PLIN2,PPIA,PPIF,PRKN,PSD4,PSMB9,PSMD2,PTPN1,RALBP1,SEC63,SERPINH1,SIAH1,SIAH2,STUB1,STX11,STX6,TBC1D1,TNFRSF10B,TNK2,TP53,TRAP1,UGCG,ULK1	253 (11)
THEM6	other	6.02E-10	ATF4,DDIT3,DNAJB11,EDEM1,ERO1A,ERP44,HERPUD1,HSP90B1,HSPA5,P4HB,PDIA4,PDIA6,XBP1	 
D-glucose	chemical - endogenous mammalian	1.34E-09	ARF3,ARF4,ATF4,ATF6,ATG7,ATP2A2,ATP2A3,B3GNT6,BAX,BCL2,BCL2L11,BECN1,CALR,CANX,CASQ2,CLGN,DAD1,DDIT3,DNAJA2,DNAJB11,DNAJC3,EIF2A,EIF2AK3,ERO1A,ERO1B,FKBP2,FUT1,GALNT2,GCNT4,GPLD1,HERPUD1,HMGCR,HSPA5,HSPB1,IGF1R,IRS1,ITPR1,ITPR2,ITPR3,KDELR2,MTOR,NEU1,OGT,OPTN,PDIA3,PDIA4,PDIA6,PICK1,PIGA,PIK3CA,PLIN3,PPIB,PREB,PSME3,RAB3B,SEC61A1,SIAH1,SLC33A1,SLC35B1,SNAP25,SRPRA,SSR1,SSR3,STUB1,STX1A,TP53,TRPV4,TRPV6,ULK1,USO1,VAMP2,VAMP8,XBP1	447 (17)
HSF1	transcription regulator	1.43E-09	ATG7,BAG3,BAX,BCL2,CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,CRYAB,CUL1,DDIT3,DNAJA1,DNAJA4,DNAJB1,DNAJB6,FKBP4,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HSPB8,HSPH1,IRS1,LMAN2L,PLIN2,RAB5C,SERPINH1,TCP1,TRPV1,UBB	213 (8)
imatinib	chemical drug	2.21E-09	ABL1,ATF4,ATF6,BAX,BCAP31,BCL2,BCL2L11,CALR,CAPN1,COPB2,CUL3,DDIT3,DNAJB11,DNAJB6,DNAJC10,EIF2AK3,ERP29,HSP90AB1,HSP90B1,HSPA2,HSPA5,HSPA8,HYOU1,KDELR1,LMAN2,MTOR,OPTN,P4HB,PDIA3,PDIA4,PDIA6,PLIN2,PPID,PPIF,RAB18,RAB31,RAB4A,RAB8A,RPN1,TNFRSF10B,VAPA,VCP	313 (15)
FBXO32	enzyme	2.46E-09	ALG12,BCL2L11,CALR,DNAJB9,DNAJC3,EIF2AK3,ERP44,HERPUD1,HSPA5,HYOU1,PDIA2,PDIA3,RAB27A,RPN1,SELENOS,SERP1,SLC33A1,STT3A,XBP1	 
NFE2L1	transcription regulator	3.05E-09	PSMA1,PSMA6,PSMA7,PSMB1,PSMB2,PSMB5,PSMB6,PSMB7,PSMC2,PSMC3,PSMD1,PSMD11,PSMD12,PSMD14	 
azetidyl-2-carboxylic acid	chemical reagent	4.65E-09	ATP2A2,DDIT3,EDEM1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9	 
icariside II	chemical reagent	6.05E-09	ATF4,ATF6,DDIT3,EIF2AK3,EIF2S1,ERN1	 
amoxapine	chemical drug	6.05E-09	ATF4,ATF6,DDIT3,DNAJC3,ERN1,XBP1	135 (6)
RAM2061	chemical reagent	6.05E-09	ATF4,ATF6,DDIT3,EIF2AK3,EIF2S1,ERN1	 
UDP-D-glucose	chemical - endogenous mammalian	6.05E-09	CALR,HSP90B1,HSPA5,HYOU1,PDIA3,PDIA4	 
PRNP	other	6.31E-09	AKT1,AKT3,ATF4,BAX,BCL2,BECN1,CHST8,CSGALNACT1,EIF2S1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9,HSPB1,IGF1R,IRS1,PDCD6,PDIA3,SNAP25,TP53	260 (12)
RYR2	ion channel	1.42E-08	ATF6B,BAX,CALR,CAPN10,DDIT3,DERL1,DNAJC3,EDEM1,ERO1B,FOXO1,UGGT2	196 (8)
CREB3	transcription regulator	1.59E-08	ARF4,CANX,COPB1,DDIT3,FKBP4,HSPA5,MBTPS2,UBXN4,XBP1	 
MMP12	peptidase	2.04E-08	ACTR2,ACTR3,ARPC1B,CCT5,PSMA1,PSMA3,PSMA5,PSMA6,PSMB2,PSMB7,PSMC3,PSMD1,PSMD11,PSMD14,PSME3,VCP	 
MPZ	other	2.24E-08	ATF4,DDIT3,DERL2,DERL3,DNAJC3,ERO1B,HMGCR,HSPA5,SDF2L1,XBP1	 
MKKS	other	2.26E-08	CSNK1D,PSMA1,PSMA4,PSMB2,PSMB3,PSMC1,PSMC3,PSMC4,PSMD13,PSMD5,PSMD6,PSMD7,RAB5A	 
FNDC5	other	2.33E-08	ATF4,ATF6,ATP2A1,CAPN3,CASQ1,DDIT3,EIF2AK3,EIF2S1,ERN1,HSPA5,RYR1,RYR2,TRPV1,WFS1,XBP1	 
RPL22	translation regulator	2.61E-08	ATF4,BAX,BCL2L11,DDIT3,DNAJB9,DNAJC3,HSPA5,XBP1	221 (8)
ANGPT2	growth factor	2.64E-08	ARHGEF2,BAG1,BCL2,BCL2L11,CALR,CCT7,CRYAA/LOC102724652,CRYAB,DDIT3,DNAJB4,EXT2,FKBP10,FKBP2,FKBP4,GALNT4,HSP90AA1,HSPA1A/HSPA1B,HSPA2,HSPA4,HSPA5,MAPK10,NDE1,P4HB,PDIA3,PDIA5,PDIA6,PGAP1,TNFRSF10B,TP53,VCPIP1	265 (6)
GPAT4	enzyme	2.76E-08	ATF4,DDIT3,EIF2AK3,ERN1,HSP90B1,HSPA5,XBP1	 
arsenic trioxide	chemical drug	2.90E-08	ATF4,ATF6,BAX,BCAP31,BCL2,CALR,COPB2,CUL3,DDIT3,DNAJB11,DNAJB6,DNAJC10,EIF2AK3,ERP29,HMGCR,HSP90AB1,HSP90B1,HSPA2,HSPA5,HSPA8,HYOU1,KDELR1,LMAN2,P4HB,PDIA3,PDIA4,PDIA6,PML,PPID,PPIF,RAB18,RAB31,RAB4A,RAB8A,RPN1,TNFRSF10B,TP53,VAPA,VCP,XBP1	315 (11)
PTP4A1	phosphatase	3.19E-08	ACTR2,ACTR3,ARHGDIA,B3GNT2,BAX,CLTC,CSNK2A1,DNAJB1,FKBP1A,HSPA1A/HSPA1B,HSPA6,MAP3K5,MAPK10,MAPK8,MAPK9,PIK3CA,RAB35,ROCK1,ROCK2,TP53,UBA1	 
epoxomicin	chemical - protease inhibitor	3.22E-08	BCL2L11,DDIT3,FOXO1,HSPA5,OPTN,PSMA2,PSMA6,PSMB1,PSMB3,PSMB4,PSMB5	256 (8)
genistein	chemical drug	4.16E-08	AGA,AP1B1,AP1S2,AP3B2,AP3S2,ATF4,BAX,BCL2,BECN1,CHPF,CHST12,CHST14,CHST7,CTSA,EXT1,EXTL2,FUCA1,GAL3ST1,GGA1,GGA2,GGA3,GLB1,GNPTAB,HAS1,HEXA,HEXB,HMGCR,HS2ST1,HS3ST3A1,HSPA1A/HSPA1B,HSPA5,IGF1R,MAN2B1,MANBA,NAGPA,NDST2,NEU1,RAB14,RPN2,ST3GAL2,TP53,VPS11,VPS52,XYLT1	364 (12)
rebemadlin	chemical reagent	5.08E-08	AKT1,AKT2,BAX,CRYAB,HSP90AA1,HSP90AB1,HSP90B1,HSPA13,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA8,HSPA9,PIK3C3,PML,PSME3,ROCK2,TNFRSF10B,TP53,TRIM22	201 (6)
tanespimycin	chemical drug	5.84E-08	AKT1,AKT2,AKT3,ARAF,ATF4,AXL,BAK1,BCL2,CALM1 (includes others),CAPN1,DDIT3,DNAJB1,HMGCR,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9,IGF1R,PSMA7,SERPINH1	318 (11)
VCP	enzyme	5.98E-08	BCL2,CRYAB,DDIT3,GALNT5,HERPUD1,HSPA5,MAN1A1,MAN2A1,OS9,P4HB,POFUT2,PPIB,SEL1L,TRIM21,TRIM22,UBA7	203 (7)
carfilzomib	biologic drug	8.55E-08	ATF4,DDIT3,EIF2A,ERN1,HSP90B1,HSPA5,PSMA7,PSMB7,PSMC4,PSMD12	166 (6)
CREBZF	transcription regulator	9.65E-08	ATF4,DDIT3,DNAJB9,EDEM1,ERN1,HERPUD1,HSPA1A/HSPA1B,HSPA5,MAPK10,MTOR,XBP1	193 (5)
EFEMP1	enzyme	9.65E-08	ATF4,CALR,DNAJB11,EIF2AK3,HSP90B1,HSPA5,HYOU1,PDIA6,SEC31A,SYVN1,XBP1	 
4-phenylbutyric acid	chemical - endogenous mammalian	1.01E-07	ATF4,ATF6,ATP2A3,BCL2,CALR,DDIT3,DNAJB9,EDEM1,EIF2AK3,ERN1,ERP29,HSP90B1,HSPA4,HSPA5,PSMA3,PSMC3,PSMD10,ROCK1,VAMP7,XBP1	334 (13)
ST1926	chemical drug	1.12E-07	ARF1,ARPC2,ARPC3,CCT2,CCT3,CCT6A,FKBP5,HSP90AA1,MAN1B1,PDIA3,PSMA4,PSMB1,PSMD3,RBX1,SELENOF,SEM1,SKP1,SRP72,SSR2,TNFRSF10B,TP53,UBE2M,UGCG,VAMP8	 
SEL1L	other	1.40E-07	DDIT3,DNAJB11,DNAJC3,EDEM1,HERPUD1,HSPA5,SERP1,SYVN1,XBP1	143 (4)
desloratadine	chemical drug	1.42E-07	ATF4,ATF6,DDIT3,DNAJC3,XBP1	135 (6)
kb-NB 142-70	chemical drug	1.42E-07	DNAJB9,DNAJC3,ERN1,HSPA5,XBP1	 
CMTM3	cytokine	2.33E-07	BAG3,CRYAB,DNAJA1,DNAJB1,FKBP4,FUT1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA6,HSPA8,HSPB1,HSPH1,SERPINH1,TP53,XYLT1	 
CREB3L2	transcription regulator	3.52E-07	ARF4,COPB1,HSPA5,SEC23A,SEC23B,SEC24C,USO1	 
ERBB2	kinase	4.30E-07	ABL1,AGR2,AKT1,AKT2,ATF4,B3GALT6,B4GALT3,B4GAT1,BAG2,BCL2,CHMP2B,CHST10,CHST2,CHST3,CMAS,CUL1,CUL3,DDIT3,DERL1,DGAT1,DNAJB6,EXT1,EXT2,FOXO1,FUT10,FUT11,GALNT11,GALNT18,GALNT3,GCNT2,GNPTAB,GPAA1,GXYLT2,HAS2,HM13,HMGCR,HSPA1A/HSPA1B,HSPB1,HSPB8,IGF1R,ITPR2,MAN1A1,MAN2A1,MAN2A2,MFNG,MGAT4A,MGAT5,MPPE1,NAGPA,NDST1,NET1,PDIA4,PLIN2,POMK,POMT1,PSMB9,PSMC3,PSMD8,PTPN1,RAB18,RAB31,RAB34,SEC61A1,SERP1,SKP1,SRP19,ST3GAL1,ST3GAL2,ST3GAL4,ST3GAL6,ST6GAL1,ST6GALNAC2,STT3B,TAPBP,TMED9,TMX3,TNFRSF10B,TP53,TUSC3,UGT8,USP14,VAMP8,WFS1,XBP1	405 (10)
TAFAZZIN	enzyme	4.88E-07	ADRM1,AXL,BAX,BCL2,BCL2L11,BECN1,CCT4,CCT6A,COPS7A,HMGCR,HSP90AA1,IRS1,PDCD6,PIK3C3,PLOD2,PSMA4,PSMA6,PSMA7,PSMB1,PSMB10,PSMB4,PSMC1,PSMD10,PSMD11,PSMD14,PSMD3,PSMD6,PSMD8,PSME1,ST6GAL1,ST6GALNAC5,TBC1D2,UBA1,UBE2D3,UBE2N,UBE2Z	182 (4)
methamphetamine	chemical drug	5.09E-07	ATF4,ATF6,BAX,BCL2,CRYAB,DAD1,DDIT3,DERL3,DNAJA1,DNAJA4,DNAJB1,DNAJB4,DNAJB5,DNAJC3,EIF2AK2,FOXRED2,HERPUD1,HSP90AA1,HSPA5,HSPB1,HSPB8,IGF1R,PDIA4,UGT8,XBP1	109 (3)
CETP	enzyme	5.10E-07	DDIT3,HERPUD1,HMGCR,HSPA5,P4HB,PDIA3,PDIA4,PLIN2,PLIN3	315 (8)
26S PROTEASOME (complex)	complex	5.64E-07	ADRM1,ATG5,ATG7,BAG3,BAX,BCL2L11,CTSA,DDIT3,FOXO1,HSPB8,KIF23,PKD1,PSMB3,PSMB5,PSMB6,PSMC2,PSMC4,PSMD2,PSMD6,TP53,VPS11,VPS18	347 (14)
TFEB	transcription regulator	6.50E-07	AGA,AP1B1,AP1G1,AP1M1,AP1M2,AP1S1,AP3B1,AP3D1,AP3M1,AP3S1,AP3S2,ATG5,BECN1,CHST2,CKAP4,CLTA,CLTB,CLTC,CTSA,FUCA1,GGA1,GGA2,GLB1,GNPTAB,GNPTG,HEXA,HEXB,HMGCR,KIF23,MAN2B1,MANBA,NAGPA,NEU1,PIK3C3,RAB7A,SCAP,ST8SIA4,VPS11,VPS18,VPS33A	 
phenethyl isothiocyanate	chemical drug	7.31E-07	AP3S1,BAK1,BAX,BCL2,BCL2L11,CAPN2,CCT4,HSP90AA1,PSMA6,PSMB3,QSOX1,RAB1A,ROCK1,ROCK2,TMED2,UBXN4,USO1,USP14	234 (7)
dithiothreitol	chemical reagent	7.42E-07	ATP2A2,DDIT3,ERO1B,HSP90B1,HSPA5,LMAN1,SEL1L,SYVN1,TOR1A,UBXN4	226 (10)
CD 437	chemical drug	7.66E-07	ARF1,ARPC2,ARPC3,BAX,CCT2,CCT3,CCT6A,DNAJA1,FKBP5,HSP90AA1,HSPA8,MAN1B1,PDIA3,PSMA4,PSMB1,PSMD3,RBX1,SELENOF,SEM1,SKP1,SSR2,TNFRSF10B,TP53,UBE2M,UBE2N,UGCG	 
NUS1	enzyme	8.22E-07	ATF4,ATF6,EIF2AK3,HSPA5,XBP1	 
azetidine	chemical reagent	8.22E-07	BAG3,DDIT3,HSPA4,HSPA5,HSPB8	 
MAPT	other	1.05E-06	AP1B1,AP3B2,ARF1,ARF4,ARF5,ARF6,ATF4,ATG5,B4GALT1,CANX,CAPN1,CAPN2,CCT7,CCT8,CLTA,CLTB,CLTC,DDIT3,DNAJC5,DNAJC6,EIF2AK3,FKBP1A,GALNT15,HEXB,HSP90AA1,HSPA1A/HSPA1B,HSPA4L,HSPA5,HSPA8,HSPB1,HSPB8,HSPH1,MAN2B1,MAPK8,MTOR,NAPA,NAPB,NAPG,NEU1,NEU4,PAK1,PPIA,PSMB8,PSMD2,RAB10,RAB2A,ROCK2,SEC31A,SNAP25,STUB1,STX1B,TRIM21,VAMP2,VAMP3,WAS	346 (14)
Z36	chemical reagent	1.08E-06	ATF4,DDIT3,DNAJB9,EIF2AK3,ERN1,HERPUD1,HSPA5,ULK1,XBP1	222 (8)
CDKN2AIP	transcription regulator	1.10E-06	DDIT3,ERN1,HSPA1A/HSPA1B,HSPA5,HSPA6,TP53	199 (6)
SR1078	chemical reagent	1.10E-06	ATF4,DDIT3,DNAJB9,EDEM1,HSPA5,NEDD4	215 (8)
cadmium chloride	chemical toxicant	1.11E-06	ATF4,BAX,BCL2,CRYAB,DDIT3,DNAJA4,DNAJB1,DNAJC3,ERO1A,FKBP5,FOXO1,HSP90AA1,HSPA13,HSPA1A/HSPA1B,HSPA5,HSPB1,HSPB8,TP53	433 (13)
miR-16-5p (and other miRNAs w/seed AGCAGCA)	mature microRNA	1.42E-06	ARHGDIA,ATF6,BCL2,CCNF,DIPK1A,DNAJB4,GALNT13,GALNT7,HSP90B1,HSPA1A/HSPA1B,IGF1R,KIF23,MGAT4A,NAPG,OGT,PPIF,RAB21,RAB30,RAB9B,RFT1,SEC24A,SLC35A1,SLC35B3,SRPRA,SRPRB,VPS45,VTI1B	 
ESR1	ligand-dependent nuclear receptor	1.58E-06	ACTR2,AKT1,AKT2,AP1M1,AP1S1,AP3B1,ARAF,ARFGAP1,ARFIP2,ARHGAP1,ARHGEF11,ARHGEF2,ARHGEF7,ATP2A3,BAG1,BAX,BCL2,BCL2L11,BECN1,BET1L,CAPN2,CASQ2,CHMP4A,CHST2,COG2,COG5,COG6,COG7,COPA,COPE,COPG1,COPS2,COPZ1,CSNK1A1,DNAJC1,EEA1,EXOC5,FKBP2,FKBP4,FOXO1,GALNT7,GGA2,GIT2,GLB1,GOSR1,HMGCR,HSP90AA1,HSP90B1,HSPA13,HSPA2,HSPH1,IGF1R,IRS1,KIF20A,KIF23,MAN1A1,MAP2K7,MAPK8,MCF2L,NCOA3,NEDD4,OS9,PAK1,PLIN2,PLOD2,PSD4,PSMD14,PSMD3,RAB11FIP4,RAB27A,RAB31,RAB35,RAB5B,RAB5C,RAB6A,RABEP1,ROCK1,RRBP1,SEC22C,SEC23IP,SEC31A,SEC63,SGSM3,SIAH2,SLC35A1,SLC35B4,SNAP23,SSR3,STX3,STX5,STX6,TAPBP,TMED10,TP53,TRAM1,TRIM16,USP19,VPS11,VPS28,XBP1,YKT6	405 (11)
BBS4	other	1.75E-06	PSMA4,PSMB2,PSMB5,PSMC1,PSMC3,PSMD11,PSMD12,PSMD13,PSMD6,PSMD7,TSG101	 
A2M	transporter	2.22E-06	ATF4,ATF6,BCL2,DDIT3,EIF2A,EIF2AK3,ERN1,FOXO1,HSPA5,MAP3K5,XBP1	265 (9)
AR7	chemical reagent	2.32E-06	CTSA,HSP90AB1,HSPA8,MTOR,PSME1,RAB11B	 
metribolone	chemical reagent	2.45E-06	ADRM1,AGR2,ALG1,B3GALT6,B3GAT3,B4GALT1,BAX,BCAP29,BCL2,CAPN5,CCT2,CHPF,CRYAB,DNAJB9,DNAJC10,EDEM1,EDEM3,ERO1A,FKBP5,FOXO1,HMGCR,HSPA5,HSPH1,IGF1R,KCNN2,KIF20A,LMAN1,MBTPS2,NEDD4L,OXA1L,PLOD1,PPIA,PPIB,RAB27A,RAB4A,RAD23A,SCAP,SEC24D,SLC35A3,SPCS3,ST6GALNAC1,SYTL2,TBC1D4,TP53,TRIM36,UBE2J1	358 (12)
TP53	transcription regulator	2.91E-06	AKT1,AKT3,ANKFY1,AP1B1,AP3B1,ARAP2,ARHGAP1,ARHGAP5,ARHGEF2,ARPC1B,ARPC2,ATF4,ATG5,ATG7,BAG1,BAG3,BAK1,BAX,BCAP31,BCL2,BCL2L11,BICD2,BTK,CAMLG,CAPNS1,CCNF,CHMP4C,CHST12,CLTA,CLTC,COPB1,COPS5,CRYAB,CSNK1D,DDIT3,DNAJA2,DNAJA4,DNAJB2,DNAJB4,DNAJB5,EIF2AK3,FKBP1A,FKBP1B,FKBP3,FKBP4,FKBP5,FKBP6,FMO1,FOXO1,FUCA1,FUT1,GAL3ST4,GLB1,GOLGA4,HAS2,HMGCR,HS3ST1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA1L,HSPA4L,HSPA5,HSPA8,HSPB1,HSPH1,IGF1R,IRS1,KIF20A,KIF23,LMAN2,MAN2A1,MAP2K7,MGAT1,MICALL1,NDE1,OXA1L,P4HB,PAK1,PDIA5,PDIA6,PIGF,PIK3C3,PLOD2,PML,PPIC,PRKN,PSMA1,PSMA2,PSMB1,PSMB9,PSMC1,PSMD1,PSMD12,PSMD2,PSMD3,PSMD8,PSME3,PTPN1,RAB11FIP1,RAB5A,RAB5C,RAB8A,RAD23A,RALBP1,RPN1,RPN2,RYR2,SEC23B,SEC61A1,SEC61B,SEC62,SEL1L,SERPINH1,SIAH1,SORCS2,SPCS2,STX6,TMED7,TNFRSF10B,TP53,TRAP1,TRIM21,TRIM22,TRIM25,TRPV1,TSG101,UBA1,UBA7,UBE2D1,UBQLN2,ULK1,USO1,USP14,VAMP3,VAMP4,VAPA,XBP1	340 (13)
MANF	other	3.12E-06	ATF6,ATG5,ATG7,BAX,BCL2,BECN1,HSPA5,PRKN,TP53,XBP1	 
ERV1 I (family)	group	3.33E-06	ATF6,DDIT3,EIF2A,XBP1	 
EDEM1	enzyme	3.33E-06	DDIT3,EDEM1,HSPA5,XBP1	 
RETREG1	other	3.33E-06	ATF4,DDIT3,HSPA5,XBP1	253 (10)
ATP2A1	transporter	3.33E-06	ATP2A2,CALR,DDIT3,HSPA5	 
NBAS	other	3.33E-06	ATF4,DDIT3,HSPA5,XBP1	 
DNAJB11	other	3.33E-06	ATF4,DNAJB11,EIF2AK3,HSPA5	35 (4)
BO-653	chemical drug	3.33E-06	PSMA1,PSMA2,PSMA3,PSMA4	 
stattic	chemical reagent	3.53E-06	BAX,BCL2,HAS2,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,RAB11FIP1	176 (5)
UBIQUITIN (family)	group	3.99E-06	BCL2L11,CRYAA/LOC102724652,CRYAB,DDIT3,HSP90AA1,HSP90B1,HSPA4,HSPA5,HSPA9	316 (10)
lipopolysaccharide	chemical drug	4.14E-06	ADRM1,AKT1,AKT2,ARFGAP3,ARHGAP1,ARPC1B,ASAP1,ASAP3,ATF4,ATF6B,ATG5,ATG7,ATP2A2,AXL,B4GALT5,BAG1,BAG3,BAX,BCL2,BCL2L11,BECN1,BTK,CALM1 (includes others),CALR,CAPN2,CCNF,CCT4,CCT6A,CHST3,CHST7,CKAP4,COG2,COPS7A,CRYAB,CSNK2A1,DDIT3,DGAT1,DNAJB1,DNAJB11,DNAJB9,DNAJC3,EDEM1,EDEM2,EDEM3,EIF2AK2,EIF2AK3,ERN1,ERO1A,ERP44,EXT1,FKBP2,FOXO1,FURIN,FUT2,FUT8,GCNT2,GOLGA4,HAS1,HERPUD1,HEXA,HM13,HMGCR,HSP90AA1,HSP90B1,HSPA13,HSPA1A/HSPA1B,HSPA4L,HSPA5,HSPA8,HSPB1,HYOU1,INPP5B,KDELR2,KIF23,LGALS9,LMAN1,MAN1B1,MAP2K7,MAPK8,MAPK9,MGAT2,NCOA3,NSFL1C,OGT,OPTN,P4HB,PAK1,PDCD6,PDIA3,PDIA4,PDIA6,PIK3C3,PLAA,PLIN2,PML,PPIA,PSMA2,PSMA4,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB4,PSMB8,PSMB9,PSMC1,PSMD10,PSMD11,PSMD14,PSMD3,PSMD6,PSMD8,PSME1,PSME2,PSMG4,RAB10,RAB11A,RAB1B,RAB20,RAB24,RAB27A,RAB37,RAB3B,RAB5A,RAB6A,RACK1,RNF19A,ROCK1,SEC11A,SEC24D,SEC61A1,SEL1L,SERPINH1,SIAH2,SLC33A1,SLC35A2,SLC35C1,SNAP23,SPCS1,SRPRA,SSR1,ST3GAL5,ST6GAL1,STX11,STX2,STX4,STX6,TAPBP,TNK2,TP53,TPST1,TPST2,TRIM21,TRIM22,TRIM25,UBA1,UBE2D3,UBE2J1,UBE2N,UBE2Z,USP14,VAMP8,VPS37C,VTI1B,WFS1,XBP1,XYLT2	398 (13)
UBA1	enzyme	4.36E-06	ATF4,DDIT3,HSP90B1,HSPA5,HSPA8,HSPB1,MAPK8,TP53	291 (7)
GUCY2D	kinase	4.36E-06	ATF6,DDIT3,DERL1,DNAJC3,EIF2A,ERN1,RYR2,UGGT2	 
tetraethylammonium	chemical drug	5.17E-06	ARHGDIA,BAG2,HSPA8,HSPA9,HSPB1,PDIA3,PSMA6,PSMB4,SSR4,TCP1	 
sirolimus	chemical drug	5.85E-06	AGR2,AKT1,APPL1,ARF1,ATF4,ATG7,BAG1,BAX,BCL2,BCL2L11,BECN1,CCNF,CSNK2A1,DAD1,DDIT3,DGAT1,EIF2AK2,EIF2S1,GGA2,HSP90AA1,HSP90AB1,HSP90B1,HSPA4,HSPA5,IGF1R,IRS1,MTOR,NEU1,PLIN2,PML,PPIA,PRKN,PSMA3,PSMA4,PSMA6,PSMB1,PSMB3,PSMB4,PSMB6,PSMB7,PSMD11,PSMD8,PSME3,RAB9A,RACK1,RPN2,SLC33A1,SLC35C2,SNAP23,STX4,TP53,TRIM25,UBA1,VAMP3,XBP1	389 (15)
IL24	cytokine	6.72E-06	BAK1,BAX,BCL2,BCL2L11,CASP12,DDIT3,EIF2A,EIF2AK2,HSP90B1,HSPA5,XBP1	233 (9)
BMS-690514	chemical drug	7.07E-06	BAG2,BCL2L11,DDIT3,DNAJB6,DNAJC9,HSP90AA1,HSPA4,HSPA8,HSPH1	 
GPX5	enzyme	7.14E-06	ERP44,PDIA3,PDIA5,PDIA6,TMX1	 
BAG3	other	7.71E-06	ARHGDIA,BAG2,BCL2,CALR,CHMP6,COPS6,DDIT3,DGAT2,FKBP3,FKBP4,HSPA9,HSPB8,MTOR,P4HB,PDIA3,POMP,PPIL1,PSMA4,PSMB6,PSMC4,PSMD4,RYR2,STUB1,TMX4,TRAP1	 
OGT	enzyme	1.29E-05	ATF4,ATP2A2,AXL,BAX,CHST8,FKBP1A,HAS2,MGAT5B,PRKN,PSMA3,PSMB7,PSMC1,PSMC4,PSMC6,PSMD14,PSMD3,PSMD6,PSME3,TP53	302 (10)
VAMP8	transporter	1.35E-05	ATG5,BECN1,EEA1,PIK3C3,RAB11A,VAMP7	 
FSH (complex)	complex	1.51E-05	ACTR2,ARHGAP1,ARPC1A,ARPC4,ATP2A2,AXL,BAG1,BECN1,COPS5,CSNK1A1,DNAJB9,FKBP5,FOXO1,IGF1R,ITPR1,MAP3K5,MTOR,PGRMC1,PLIN3,PPIH,PSMD1,PSMD3,PTPN1,RAB14,RAB1A,RAB27A,RAB2A,RAB31,RAB33B,RAB4A,RAB5A,RAB5C,SNAP23,SNAP25,STX4,TMBIM6,TNFRSF10B,TP53	416 (12)
